algorithm,N,k,comparisons,time,entry_time
merge_sort,828642,1000,13243648,8.656214714050293,1652160226.5050938
radix_sort,323745,1000,971235,1.3928132057189941,1652160228.0965328
merge_sort,655,10,4076,0.0032444000244140625,1652160228.1800075
merge_sort,59636,100000,659581,0.4615607261657715,1652160228.6418712
quick_sort,372,10000000,3421,0.0019516944885253906,1652160228.6582084
merge_sort,23299,100,271781,0.18882441520690918,1652160228.848106
radix_sort,1000000,10,1000000,1.4899640083312988,1652160230.344901
merge_sort,828642,10,13845137,9.116257190704346,1652160239.7097065
radix_sort,686648,1000,2059944,2.9550609588623047,1652160242.8663793
radix_sort,100,10,100,0.0002834796905517578,1652160243.0342183
quick_sort,152641,1000,13524819,3.3276174068450928,1652160246.36208
merge_sort,184206,1000,2545544,1.7224442958831787,1652160248.1217458
radix_sort,568986,1000,1706958,2.6743669509887695,1652160250.8423538
merge_sort,323745,1000,4756797,3.199535369873047,1652160254.1801932
quick_sort,15998,10000000,256695,0.1318674087524414,1652160254.391278
merge_sort,126485,10,1824544,1.2254819869995117,1652160255.6208692
radix_sort,471486,100000,2357430,3.381571054458618,1652160259.0332623
radix_sort,2947,10000000,20629,0.0314021110534668,1652160259.178453
quick_sort,268269,100000,5834594,2.7102761268615723,1652160261.8900375
merge_sort,568986,100000,7855067,5.310963153839111,1652160267.2673316
merge_sort,120,10,636,0.0005867481231689453,1652160267.4067674
radix_sort,790,10,790,0.0012655258178710938,1652160267.4081419
merge_sort,222299,100,3320705,2.2164385318756104,1652160269.6250882
quick_sort,255,100000,1920,0.0010364055633544922,1652160269.679535
radix_sort,184206,10000000,1289442,1.8289000988006592,1652160271.5087426
merge_sort,471486,100,7436676,4.867434024810791,1652160276.4210725
radix_sort,59636,1000,178908,0.2476358413696289,1652160276.7814937
quick_sort,6250,100000,92378,0.04820370674133301,1652160276.844526
radix_sort,33932,10,33932,0.049677133560180664,1652160276.8958924
merge_sort,1000000,100000,14710217,9.724911451339722,1652160286.6301634
quick_sort,686648,10000000,16797053,7.769140720367432,1652160294.6390395
radix_sort,2023,100000,10115,0.015109777450561523,1652160294.8180118
